parallax,phot_g_mean_mag,bp_rp
1.1357587306009553,14.5729265,0.88091564
1.2106094412215898,12.606146,0.7430048
1.1163833828605643,16.716963,1.6030464
1.1329994670291343,16.981943,1.6282692
1.1287080324056935,13.758011,0.7705841
1.2195923451127275,15.444592,1.2827625
1.248970609740535,17.95404,2.068447
1.378919928866308,17.937412,1.9731407
1.1584740293058213,15.563312,1.1244469
1.138911951245019,14.780747,0.9177828
1.1281807899881124,14.5575485,0.9055023
1.1851421863536962,12.835385,0.7790823
1.1235082277517145,12.633916,0.72618484
1.1063780468834332,17.611193,1.8726654
1.2613502264885483,16.363602,1.4114132
1.1588235464189354,14.051254,0.8117533
1.0870972384704418,15.399096,1.0654964
1.427728121598455,17.244299,1.701086
1.1476824018373324,14.0869055,0.7771044
1.1262589774114633,14.189812,0.79874134
1.1811350509906289,8.222472,1.8043594
1.1376006567119523,16.56899,1.5172586
1.1962631901262595,13.085291,0.7594423
1.1975182950147931,16.69441,1.4792509
1.1103223219949434,15.43461,1.0705214
1.1491500704088173,14.227486,1.010293
1.125721146989938,15.127704,0.9732275
1.070398225937593,16.775866,1.5088272
1.2436876224257867,15.403966,1.0657959
1.1961701571160923,15.87026,1.2032423
1.1206601094958881,14.43516,0.85645485
1.1430784815537862,15.134989,1.1845846
1.048281038778142,17.282303,1.7428589
1.1478500994754248,16.481857,1.4096737
1.1924418402398214,12.827336,0.72296524
1.1188156222898,16.292366,1.5254793
1.182368440254217,16.775558,1.5738277
0.8730685728606096,17.782784,2.2292976
1.1281623824642129,13.95246,0.7931795
1.1524610466438383,14.743149,0.9287796
1.1619956688041355,14.47016,1.007678
1.2317405748543575,15.497033,1.0922327
1.1621499864326637,12.04278,1.1389227
1.1389694984527998,13.475734,0.8123636
1.1697270637570327,12.519697,0.7566509
1.252713096066143,16.931812,1.5951462
1.06965220668386,15.018668,0.96162987
1.117628079696173,14.3914585,0.8445692
1.090534475372965,13.652542,0.8121443
1.208215184419133,14.820488,1.0607452
1.1099962747999923,17.687927,2.0581322
1.172104512108807,13.862936,0.7744694
1.1756988028085855,14.285123,0.84154034
1.1349054718010532,13.237873,0.7385073
1.0881379072527044,15.128859,0.98975945
1.1498805939341725,15.371176,1.0486841
1.0727765594842538,15.516991,1.1100225
1.1708543283984352,13.897799,0.78917503
1.1405180672621074,14.345399,0.8269949
1.2068505196109585,15.509171,1.087964
1.2107168877413446,17.762472,1.9713192
0.9569380784007927,17.211037,1.7077904
1.1726613697027777,16.481094,1.3932304
1.4113181097163103,12.571531,0.9708433
1.1239949298108451,13.63848,0.7633362
1.1586061497234343,14.589741,0.9740372
1.1238336572976202,16.429888,1.3703032
1.208621792697113,17.299572,1.7184658
1.1387100625459439,15.678186,1.1485643
1.1848325254011254,13.502274,0.741765
1.1065659556955076,14.922193,1.0335636
1.0167026696982466,16.704063,1.5817022
1.1628248034510882,13.060335,0.7601719
1.2178936801149374,16.734282,1.494937
1.2681899709303623,17.443262,1.8042336
0.9903433488023539,16.686607,1.6180592
1.214340719579074,12.607555,0.9111614
1.1248375260764827,13.109818,0.7485132
1.1312376711239103,14.771352,1.0262184
0.9972326186977597,17.587675,1.8515911
1.1423449412242836,13.979341,0.78594303
1.1175005639817286,15.289084,1.1163044
1.1604695647934127,13.447599,0.7304659
0.9640431755311099,17.419231,2.2583313
1.1574545662761666,16.28684,1.5955172
1.1683575145395793,14.834445,0.9364414
1.2793221028824422,15.995755,1.2535019
1.3091686604388078,16.968384,1.6100273
1.1701737398093675,15.38498,1.0604725
